,Timestamp,Height,Gender,HairColour,AgeCat,ArmsFolding,BirthMonth,DietType,DietChild1,DietChild2,DietChild3,TheatreSection,HoursSleep,ShoeSize,Upbringing,AllienSize,IQ,PreferredColour,Travel,ExpenseContrib,DreamPartner,Mother,Father,BeethovEvol,Temperament,times,Year,AgeNumeric,Diet1.HiFat,Diet1.HiCarb,Diet1.HiSug,Diet1.HiProt,Diet1.Bal,AgeCont,tss,BirthMonth.Cont,BirthMonth.Nepal
194,9/27/2021 13:27:45,189,Male,true Brown,1 (20 years old or below),Left,Feb,Omnivore,balanced,medium calories,normal,Centre,9,11,average,175,below,green,foot,50,170,above average,about average,classical,introvert,2021-09-27 14:27:45,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31443937,2,4
195,9/27/2021 14:31:57,166,Female,dyed / other,1 (20 years old or below),Right,Sept,Omnivore,balanced,medium calories,normal,Centre,8,4,wealthy,243,above,violet,foot,75,170,about average,about average,experimental,extravert,2021-09-27 15:31:57,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31447789,9,11
196,9/27/2021 14:49:12,155,Female,true Red,1 (20 years old or below),Right,Apr,Omnivore,balanced,medium calories,very healthy,Centre,8,4,wealthy,1e+06,below,yellow,motored,0,193.04,below average,below average,experimental,extravert,2021-09-27 15:49:12,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448824,4,6
197,9/27/2021 14:49:19,187,Male,true Brown,1 (20 years old or below),Right,Jan,Omnivore,balanced,medium calories,normal,Centre,8,8,wealthy,0.01,above,red,foot,50,165,about average,above average,electro / pop,introvert,2021-09-27 15:49:19,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448831,1,3
198,9/27/2021 14:49:35,175,Female,dyed / other,1 (20 years old or below),Right,Mar,Omnivore,balanced,medium calories,normal,Left,12,6,average,5,below,indigo,motored,100,198,below average,about average,experimental,introvert,2021-09-27 15:49:35,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448847,3,5
199,9/27/2021 14:49:38,155,Female,true Blonde,4 (23 yo),Right,Apr,Vegetarian,carbs,medium calories,normal,Centre,8,5,average,1,below,indigo,foot,100,185,about average,below average,electro / pop,extravert,2021-09-27 15:49:38,2021,4,FALSE,TRUE,FALSE,FALSE,FALSE,4,31448850,4,6
200,9/27/2021 14:49:40,169,Female,true Blonde,2 (21 yo),Left,Jan,Omnivore,balanced,medium calories,very healthy,Left,6,4,wealthy,0.001,below,green,motored,0,180,above average,about average,experimental,introvert,2021-09-27 15:49:40,2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,2,31448852,1,3
201,9/27/2021 14:49:47,185,Male,true Blonde,1 (20 years old or below),Left,Mar,Vegetarian,balanced,medium calories,normal,Centre,8,8,average,168,below,green,foot,65,175,about average,about average,classical,extravert,2021-09-27 15:49:47,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448859,3,5
202,9/27/2021 14:49:51,180,Male,dyed / other,7 (26 yo or above),Left,Oct,Omnivore,balanced,high calories,very healthy,Right,7.5,11,average,1e-04,above,red,foot,100,170,about average,above average,experimental,extravert,2021-09-27 15:49:51,2021,7,FALSE,FALSE,FALSE,FALSE,TRUE,7,31448863,10,12
203,9/27/2021 14:49:54,173,Female,true Brown,1 (20 years old or below),Left,Jul,Omnivore,carbs/sugar/prot,medium calories,normal,Right,8,7.5,average,3,above,yellow,foot,0,183,about average,about average,experimental,introvert,2021-09-27 15:49:54,2021,1,FALSE,TRUE,TRUE,TRUE,FALSE,1,31448866,7,9
204,9/27/2021 14:49:59,165,Female,true Brown,1 (20 years old or below),Left,Dec,Vegetarian,balanced,medium calories,normal,Centre,9,5,average,150,above,blue,motored,50,180,below average,above average,experimental,introvert,2021-09-27 15:49:59,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448871,12,2
205,9/27/2021 14:50:03,169,Female,true Blonde,1 (20 years old or below),Left,Sept,Omnivore,balanced,high calories,normal,Left,6,6.5,wealthy,145,above,red,foot,0,190,about average,about average,experimental,extravert,2021-09-27 15:50:03,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448875,9,11
206,9/27/2021 14:50:30,195,Male,true Brown,1 (20 years old or below),Right,Dec,Vegetarian,balanced,medium calories,very healthy,Left,7,12,wealthy,60,below,orange,non-motored wheels,100,168,above average,above average,experimental,extravert,2021-09-27 15:50:30,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448902,12,2
207,9/27/2021 14:50:36,155,Female,true Brown,1 (20 years old or below),Right,Apr,Omnivore,balanced,medium calories,normal,Left,9,4,average,3,below,yellow,foot,0,180,below average,about average,Afrobeat,introvert,2021-09-27 15:50:36,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448908,4,6
208,9/27/2021 14:50:41,188,NotSaying,true Brown,1 (20 years old or below),Left,Sept,Vegetarian,fat/sugar,high calories,not very healthy,Right,7,11,wealthy,2,above,indigo,foot,20,200,about average,above average,classical,extravert,2021-09-27 15:50:41,2021,1,TRUE,FALSE,TRUE,FALSE,FALSE,1,31448913,9,11
209,9/27/2021 14:50:44,173,NotSaying,true Blonde,1 (20 years old or below),Right,Nov,Omnivore,balanced,medium calories,normal,Centre,8.5,6,average,1,above,blue,foot,0,170,about average,about average,classical,introvert,2021-09-27 15:50:44,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448916,11,1
210,9/27/2021 14:50:51,161,Female,true Brown,2 (21 yo),Left,Apr,Omnivore,balanced,medium calories,normal,Centre,8,3.5,average,1e-05,below,blue,foot,0,170,about average,below average,classical,extravert,2021-09-27 15:50:51,2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,2,31448923,4,6
211,9/27/2021 14:50:54,164,Female,dyed / other,4 (23 yo),Left,Jul,Vegetarian,balanced,medium calories,normal,Centre,6,5,average,0.005,below,yellow,motored,100,175,about average,about average,experimental,introvert,2021-09-27 15:50:54,2021,4,FALSE,FALSE,FALSE,FALSE,TRUE,4,31448926,7,9
212,9/27/2021 14:51:02,162,Female,true Brown,1 (20 years old or below),Left,Jul,Omnivore,fat/carbs,medium calories,normal,Centre,7,5,average,10,below,orange,motored,0,195,about average,about average,classical,introvert,2021-09-27 15:51:02,2021,1,TRUE,TRUE,FALSE,FALSE,FALSE,1,31448934,7,9
213,9/27/2021 14:51:21,170,Female,true Brown,1 (20 years old or below),Left,Dec,Omnivore,balanced,high calories,normal,Left,9,6,average,25,below,violet,foot,50,182,about average,about average,experimental,introvert,2021-09-27 15:51:21,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448953,12,2
214,9/27/2021 14:51:23,185,Male,true Brown,2 (21 yo),Left,Dec,Vegetarian,carbs/sugar,low calories,not very healthy,Left,9,9.5,low income,1e-04,below,indigo,foot,10,190,below average,about average,experimental,introvert,2021-09-27 15:51:23,2021,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,31448955,12,2
215,9/27/2021 14:51:42,162,Female,dyed / other,1 (20 years old or below),Right,Aug,Omnivore,carbs/balanced,medium calories,normal,Right,8,4,average,5,below,green,foot,50,170,about average,about average,experimental,extravert,2021-09-27 15:51:42,2021,1,FALSE,TRUE,FALSE,FALSE,TRUE,1,31448974,8,10
216,9/27/2021 14:51:43,175,Female,dyed / other,2 (21 yo),Right,Jan,Omnivore,balanced,medium calories,normal,Left,10,6.5,average,250,above,violet,motored,90,190,below average,above average,classical,extravert,2021-09-27 15:51:43,2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,2,31448975,1,3
217,9/27/2021 14:51:49,183,Male,true Red,1 (20 years old or below),Left,Nov,Omnivore,carbs/prot,high calories,normal,Right,9,10.5,average,3,below,violet,foot,60,170,above average,about average,experimental,introvert,2021-09-27 15:51:49,2021,1,FALSE,TRUE,FALSE,TRUE,FALSE,1,31448981,11,1
218,9/27/2021 14:51:53,172,Female,dyed / other,2 (21 yo),Left,Sept,Omnivore,carbs/sugar,medium calories,not very healthy,Left,8,8,low income,213,below,yellow,foot,80,180,about average,above average,classical,introvert,2021-09-27 15:51:53,2021,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,31448985,9,11
219,9/27/2021 14:51:53,151,Female,true Blonde,7 (26 yo or above),Left,Sept,Omnivore,sugar,medium calories,normal,Centre,8,5,low income,100,above,indigo,motored,10,178,below average,below average,classical,introvert,2021-09-27 15:51:53,2021,7,FALSE,FALSE,TRUE,FALSE,FALSE,7,31448985,9,11
220,9/27/2021 14:51:53,165,Female,true Blonde,2 (21 yo),Left,Aug,Vegetarian,carbs/balanced,medium calories,normal,Left,8,3.5,average,5,below,green,motored,0,200,above average,below average,electro / pop,extravert,2021-09-27 15:51:53,2021,2,FALSE,TRUE,FALSE,FALSE,TRUE,2,31448985,8,10
221,9/27/2021 14:51:54,184,Male,true Brown,1 (20 years old or below),Left,Apr,Omnivore,prot,high calories,very healthy,Right,6,13,wealthy,1e-06,below,red,foot,100,173,above average,about average,classical,introvert,2021-09-27 15:51:54,2021,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,31448986,4,6
222,9/27/2021 14:51:57,163,Female,true Brown,3 (22 yo),Left,Jan,Vegetarian,carbs/prot,medium calories,very healthy,Centre,9,5,average,213.36,below,violet,motored,100,187.96,about average,about average,experimental,introvert,2021-09-27 15:51:57,2021,3,FALSE,TRUE,FALSE,TRUE,FALSE,3,31448989,1,3
223,9/27/2021 14:52:00,174,Female,true Brown,2 (21 yo),Right,Jan,Vegetarian,balanced,medium calories,very healthy,Centre,8,7,average,1e-05,above,blue,foot,70,185,above average,above average,experimental,introvert,2021-09-27 15:52:00,2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,2,31448992,1,3
224,9/27/2021 14:52:04,160,Female,true Brown,1 (20 years old or below),Left,May,Omnivore,balanced,high calories,normal,Right,8,6.5,average,5,below,green,foot,50,177,about average,about average,experimental,introvert,2021-09-27 15:52:04,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448996,5,7
225,9/27/2021 14:52:14,171,Male,true Brown,1 (20 years old or below),Left,Dec,Omnivore,carbs/balanced,medium calories,very healthy,Right,9,7,wealthy,1e-05,below,indigo,non-motored wheels,20,170,above average,about average,experimental,introvert,2021-09-27 15:52:14,2021,1,FALSE,TRUE,FALSE,FALSE,TRUE,1,31449006,12,2
226,9/27/2021 14:52:22,178,Male,true Brown,1 (20 years old or below),Right,Apr,Omnivore,balanced,medium calories,normal,Centre,7,8,average,200,below,green,foot,100,182,about average,below average,experimental,introvert,2021-09-27 15:52:22,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31449014,4,6
227,9/27/2021 14:52:26,165,Female,true Blonde,1 (20 years old or below),Left,Oct,Omnivore,balanced,medium calories,normal,Left,8,7,average,5,below,violet,foot,100,180,about average,above average,classical,introvert,2021-09-27 15:52:26,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31449018,10,12
228,9/27/2021 14:52:27,163,Female,true Blonde,1 (20 years old or below),Right,Nov,Omnivore,carbs/balanced,medium calories,very healthy,Left,9,5,wealthy,50,below,violet,foot,0,170,above average,about average,experimental,extravert,2021-09-27 15:52:27,2021,1,FALSE,TRUE,FALSE,FALSE,TRUE,1,31449019,11,1
229,9/27/2021 14:52:30,187,Male,true Brown,2 (21 yo),Left,Feb,Omnivore,balanced,medium calories,normal,Centre,8,9.5,wealthy,120,above,yellow,foot,80,185,below average,about average,experimental,extravert,2021-09-27 15:52:30,2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,2,31449022,2,4
230,9/27/2021 14:52:34,160,Female,true Brown,2 (21 yo),Right,Dec,Omnivore,carbs,medium calories,normal,Right,8,3.5,average,140,below,green,foot,100,180,below average,below average,electro / pop,introvert,2021-09-27 15:52:34,2021,2,FALSE,TRUE,FALSE,FALSE,FALSE,2,31449026,12,2
231,9/27/2021 14:52:41,181,Female,true Brown,4 (23 yo),Left,Dec,Vegetarian,carbs,medium calories,normal,Left,5,8,average,5,above,blue,foot,100,195,about average,above average,classical,introvert,2021-09-27 15:52:41,2021,4,FALSE,TRUE,FALSE,FALSE,FALSE,4,31449033,12,2
232,9/27/2021 14:52:44,169,Female,true Brown,1 (20 years old or below),Left,Jun,Omnivore,carbs/prot/balanced,high calories,normal,Left,8,6.5,average,100,below,violet,foot,80,175,below average,below average,experimental,introvert,2021-09-27 15:52:44,2021,1,FALSE,TRUE,FALSE,TRUE,TRUE,1,31449036,6,8
233,9/27/2021 14:52:45,170,Female,true Red,6 (25 yo),Left,Jul,Omnivore,carbs/sugar,medium calories,normal,Left,9,7.5,average,10,below,blue,motored,36,182,about average,below average,classical,introvert,2021-09-27 15:52:45,2021,6,FALSE,TRUE,TRUE,FALSE,FALSE,6,31449037,7,9
234,9/27/2021 14:52:48,174,Female,true Blonde,1 (20 years old or below),Right,May,Omnivore,carbs/prot/balanced,medium calories,normal,Centre,6,6,average,200,above,orange,foot,60,180,about average,about average,experimental,introvert,2021-09-27 15:52:48,2021,1,FALSE,TRUE,FALSE,TRUE,TRUE,1,31449040,5,7
235,9/27/2021 14:52:49,167,Female,true Blonde,3 (22 yo),Right,Jun,Omnivore,balanced,medium calories,normal,Right,6,6,low income,213,below,blue,foot,100,195,about average,about average,classical,introvert,2021-09-27 15:52:49,2021,3,FALSE,FALSE,FALSE,FALSE,TRUE,3,31449041,6,8
236,9/27/2021 14:53:00,164,Female,true Brown,1 (20 years old or below),Right,Nov,Vegetarian,balanced,medium calories,normal,Right,7,6,average,200,below,yellow,foot,0,188,about average,above average,experimental,introvert,2021-09-27 15:53:00,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31449052,11,1
237,9/27/2021 14:53:04,176,Male,true Black,4 (23 yo),Left,Feb,Omnivore,carbs,medium calories,normal,Left,8,7.5,average,200,above,yellow,motored,50,183,below average,about average,classical,extravert,2021-09-27 15:53:04,2021,4,FALSE,TRUE,FALSE,FALSE,FALSE,4,31449056,2,4
238,9/27/2021 14:53:04,170,NotSaying,true Blonde,4 (23 yo),Right,Sept,Vegetarian,balanced,high calories,normal,Right,6,6,average,156,below,blue,foot,100,190,above average,above average,experimental,introvert,2021-09-27 15:53:04,2021,4,FALSE,FALSE,FALSE,FALSE,TRUE,4,31449056,9,11
239,9/27/2021 14:53:06,182,Female,true Red,7 (26 yo or above),Right,Sept,Omnivore,sugar,medium calories,normal,Centre,8,7.5,average,140,above,violet,foot,100,180,about average,above average,classical,extravert,2021-09-27 15:53:06,2021,7,FALSE,FALSE,TRUE,FALSE,FALSE,7,31449058,9,11
240,9/27/2021 14:53:11,165,Female,true Brown,1 (20 years old or below),Right,Jan,Vegetarian,sugar/balanced,low calories,not very healthy,Right,9,6,average,130,above,red,foot,0,175,below average,about average,classical,introvert,2021-09-27 15:53:11,2021,1,FALSE,FALSE,TRUE,FALSE,TRUE,1,31449063,1,3
241,9/27/2021 14:53:16,176,Female,true Red,1 (20 years old or below),Right,Sept,Vegetarian,carbs/balanced,medium calories,normal,Right,8,7,wealthy,20,below,violet,foot,50,193,above average,above average,experimental,introvert,2021-09-27 15:53:16,2021,1,FALSE,TRUE,FALSE,FALSE,TRUE,1,31449068,9,11
242,9/27/2021 14:53:16,183,Male,true Brown,1 (20 years old or below),Right,Mar,Omnivore,balanced,medium calories,very healthy,Right,8,12,low income,200,below,blue,motored,0,152,above average,about average,classical,introvert,2021-09-27 15:53:16,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31449068,3,5
243,9/27/2021 14:53:20,165,Female,true Brown,1 (20 years old or below),Right,Aug,Vegetarian,carbs,medium calories,very healthy,Right,8,7,average,1,below,green,foot,0,183,above average,about average,experimental,introvert,2021-09-27 15:53:20,2021,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,31449072,8,10
244,9/27/2021 14:53:42,165,Female,true Brown,1 (20 years old or below),Right,Jun,Omnivore,carbs,medium calories,normal,Centre,9,5,average,3,below,blue,foot,10,180,about average,below average,classical,introvert,2021-09-27 15:53:42,2021,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,31449094,6,8
